,TOTAL SAT
1108,253.99
1109,399.0
1110,3450.0
1111,2985.96
1112,18690.36
1113,25741.01
1114,152.0
1115,2320.0
1116,115.08
1117,22.0
1118,0.0
1119,1004.39
1120,5278.0
1121,5278.0
1122,2267.8
1123,119.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,2126.5
1130,27200.37
1131,4334.56
1132,37366.89
1133,152.0
1134,813.0
1135,0.0
1136,406.0
1137,3481.28
1138,28600.0
1139,1392.0
1140,449.96
1141,218.0
1142,92.0
1143,939.86
1144,1445.06
1145,3478.84
1146,0.0
1147,23770.53
1148,17375.0
1149,1139.12
1150,0.0
1151,0.0
1152,731.11
1153,269.12
1154,6439.6
1155,6440.3
1156,549.01
1157,2688.87
1158,466.56
1159,240.0
1160,158.06
1161,417.6
1162,0.0
1163,0.0
1164,2738.4
1165,9533.33
1166,0.0
1167,0.0
1168,0.0
1169,17838.86
1170,20321.89
1171,4766.66
1172,3174.73
1173,0.0
1174,175.8
1175,313.2
1176,27368.37
1177,152.0
1178,0.0
1179,22689.6
1180,1498.7
1181,0.0
1182,875.5
1183,3168.78
1184,0.0
1185,24786.66
1186,259.0
1187,674.96
1188,11600.0
1189,675.8
1190,976.25
1191,367.72
1192,399.0
1193,0.0
1194,22724.77
1195,298.0
1196,4640.47
1197,500.0
1198,40004.03
1199,152.0
1200,379.0
1201,46904.17
1202,248.95
1203,2320.0
1204,26693.32
1205,306.6
1206,5270.0
1207,3480.0
1208,620.0
1209,4500.0
1210,1713.1
1211,2489.2
1212,0.0
1213,3077.99
1214,26534.41
1215,3375.0
1216,731.03
1217,3312.13
1218,0.0
1219,0.0
1220,0.0
1221,579.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,8352.0
1227,2126.5
1228,25293.49
1229,3306.68
1230,2267.8
1231,28505.87
1232,156.0
1233,2726.0
1234,0.0
1235,0.0
1236,26693.32
1237,1615.48
1238,133.62
1239,328.0
1240,264.0
1241,2352.0
1242,3470.09
1243,13734.4
1244,568.4
1245,0.0
1246,0.0
1247,24645.9
1248,15010.0
1249,6439.6
1250,6440.3
1251,0.0
1252,0.0
1253,2683.57
1254,549.01
1255,3232.73
1256,979.02
1257,27868.37
1258,0.0
1259,0.0
1260,300.0
1261,2262.0
1262,315.0
1263,0.0
1264,417.6
1265,0.0
1266,0.0
1267,4766.66
1268,6032.0
1269,303.96
1270,11600.0
1271,5685.19
1272,448.76
1273,195.0
1274,174.8
1275,0.0
1276,313.2
1277,24786.66
1278,2800.0
1279,47901.14
1280,10348.0
1281,367.72
1282,819.0
1283,213.42
1284,439.77
1285,3975.01
1286,3875.0
1287,5919.63
1288,1498.7
1289,51031.27
1290,78.0
1291,104.51
1292,690.0
1293,1975.7
1294,5508.32
1295,609.0
1296,3155.41
1297,4725.3
1298,2297.18
1299,399.0
1300,28600.0
1301,248.95
1302,99.0
1303,1649.0
1304,7335.84
1305,13464.8
1306,0.0
1307,10788.0
1308,-1250.0
1309,3132.6
1310,8364.41
1311,696.0
1312,27105.16
1313,559.0
1314,2998.12
1315,1447.43
1316,147.57
1317,2079.89
1318,224.54
1319,468.0
1320,2320.0
1321,39.0
1322,9533.33
1323,0.0
1324,1044.0
1325,4349.98
1326,195.0
1327,0.0
1328,1688.62
1329,214.6
1330,0.0
1331,432.9
1332,2226.25
1333,0.0
1334,5572.96
1335,133.62
1336,2267.8
1337,48042.84
1338,10640.0
1339,0.0
1340,51223.7
1341,211.39
1342,0.0
1343,-174.8
1344,2909.0
1345,2648.05
1346,2610.0
1347,-300.0
1348,0.0
1349,2126.5
1350,0.0
1351,170.0
1352,-118.09
1353,232.0
1354,117.0
1355,50100.49
1356,0.0
1357,221.0
1358,1000.0
1359,3470.09
1360,4725.3
1361,468.72
1362,0.0
1363,528.4
1364,28600.0
1365,499.0
1366,0.0
1367,24268.93
1368,15326.29
1369,3364.35
1370,251.67
1371,29003.02
1372,6439.6
1373,6440.3
1374,568.4
1375,0.0
1376,446.6
1377,0.0
1378,0.0
1379,5270.0
1380,5270.0
1381,133.62
1382,81.2
1383,0.0
1384,4766.66
1385,3349.29
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,3398.8
1393,-400.0
1394,549.01
1395,2683.57
1396,117.0
1397,928.0
1398,928.0
1399,0.0
1400,0.0
1401,0.0
1402,417.6
1403,4361.6
1404,11600.0
1405,313.2
1406,2283.65
1407,1280.0
1408,4009.39
1409,1498.7
1410,34563.74
1411,10348.0
1412,0.0
1413,0.0
1414,881.6
1415,870.0
1416,11513.15
1417,367.72
1418,199.0
1419,0.0
1420,1500.01
1421,2781.15
1422,156.0
1423,399.0
1424,4725.3
1425,212.7
1426,0.0
1427,3170.58
1428,99.0
1429,688.88
1430,10599.0
1431,349.89
1432,283.8
1433,254.25
1434,898.0
1435,5124.0
1436,126.44
1437,44172.36
1438,5984.98
1439,0.0
1440,898.0
1441,3118.88
1442,276.21
1443,26886.9
1444,3335.0
1445,2320.0
1446,26693.32
1447,82.5
1448,499.0
1449,7335.84
1450,1918.2
1451,225.01
1452,578.7
1453,874.35
1454,537.0
1455,249.01
1456,487.2
1457,22.0
1458,156.0
1459,3658.0
1460,0.0
1461,3157.5
1462,1499.67
1463,9570.0
1464,22794.0
1465,27219.82
1466,600.0
1467,1665.02
1468,335.0
1469,200.8
1470,99.0
1471,27798.96
1472,1392.0
1473,1508.0
1474,928.0
1475,3797.86
1476,2267.8
1477,280.0
1478,32740.17
1479,0.0
1480,1102.03
1481,0.0
1482,0.0
1483,0.0
1484,224.1
1485,2126.5
1486,4725.3
1487,5104.0
1488,28600.0
1489,3096.19
1490,3960.01
1491,3470.09
1492,0.0
1493,681.7
1494,1030.86
1495,920.77
1496,0.0
1497,0.0
1498,23532.04
1499,0.0
1500,15656.15
